,Unknown_mort_perc,18–24_mort_perc,25–34_mort_perc,35-44_mort_perc,45-54_mort_perc,55–64_mort_perc,65–74_mort_perc,75+_mort_perc,Unknown_mort_ever,18–24_mort_ever,25–34_mort_ever,35-44_mort_ever,45-54_mort_ever,55–64_mort_ever,65–74_mort_ever,75+_mort_ever,all_mort_ever,Unknown_perc_joint,18–24_perc_joint,25–34_perc_joint,35-44_perc_joint,45-54_perc_joint,55–64_perc_joint,65–74_perc_joint,75+_perc_joint,Unknown_mort_per_capita,18–24_mort_per_capita,25–34_mort_per_capita,35-44_mort_per_capita,45-54_mort_per_capita,55–64_mort_per_capita,65–74_mort_per_capita,75+_mort_per_capita,all_mort_per_capita,all_perc_joint
201407,0.13422015297638842,0.01959338333603132,0.2204395992408527,0.4176168424329688,0.46849884177661394,0.4207128078804784,0.30912461804323693,0.11268114803055547,0.1771865646824077,0.021008327787470547,0.2697096923688043,0.5671923904402404,0.6556778124685265,0.6416874571155914,0.5333203630162854,0.24832212127880293,0.46194952016682256,0.6798810703666998,0.5299877600979193,0.6079312243467815,0.6645123501574137,0.6826929794861046,0.6939674565086983,0.6917305295373489,0.6414074487376203,17653.674692384437,1563.8634818425455,25174.983572957586,56392.80424896736,58188.914722026384,45649.11539159216,31079.19715263393,9282.261804092925,36812.66037473206,0.6713253834725258
201408,0.14701120797011208,0.020002765636366916,0.21994611245784004,0.41670559448337224,0.4673855235531493,0.41975211427311526,0.308843382199152,0.11258654399981192,0.19364881693648817,0.0213855838198248,0.2686820717746762,0.5663913913913914,0.6556090749380579,0.6422481902032117,0.5352005019679426,0.24960719701273817,0.462170859048624,0.6738670055061414,0.5374211000901713,0.607568272437746,0.6644757913841883,0.6823562403265905,0.6939806650908591,0.6914855630117589,0.6407043920094662,18878.35585305106,1601.46504776735,25178.380742787645,56386.997430764095,58263.99303827938,45304.967877747506,31237.371167265606,9408.800773459448,36795.595753585825,0.6711443895488587
201409,0.13150665124349334,0.0196836180928314,0.21933182553924707,0.41560068556126856,0.4664613011134611,0.41914247616752287,0.30875748786416957,0.11246613524043003,0.17604106419895893,0.02105661851301687,0.2677671914632839,0.5655324905485324,0.6553816446554119,0.6430014120038666,0.5367179867774353,0.2508724811255202,0.46181157149807717,0.6849917537108301,0.5357787131689717,0.6075778078484438,0.663897336497009,0.682205565253106,0.6933399167489593,0.6916029972651795,0.641027421034363,17460.259037015618,1595.5523545181775,25225.7554900285,56131.58416320136,58190.368909302204,45366.36966470802,31185.874154657053,9422.836184349211,36705.28229179089,0.6708775265884208
201410,0.1335036300080667,0.019321572376234757,0.21792463952490493,0.4146396971479956,0.46684652429338647,0.42011484943646443,0.31039639015277065,0.11281913819091573,0.1763242807206238,0.02060195243474986,0.26586460558170905,0.5640257779455354,0.6552457073699605,0.6434154905659392,0.5386333504082924,0.2522531972091433,0.46074672340025896,0.6807653575025177,0.5349325337331334,0.6068970723299322,0.6634292293069519,0.6824299509602714,0.6934839929354991,0.6919268526495892,0.6413690988602321,17758.25080666846,1600.0396917818139,24834.81715365191,56037.51406574375,58078.73559163914,45456.45234114149,31123.479381986923,9370.908112286917,36526.159961910715,0.6709065198406042
201411,0.13248416320414141,0.019497534794451276,0.21735263288970627,0.4136127396872764,0.4660621160616117,0.4197125995961367,0.3105911783376091,0.11303987065205169,0.17553300183911177,0.020813460367080025,0.2649173364860686,0.5632990731444862,0.6552523275870765,0.643976749161227,0.5406395198154986,0.2535778123291549,0.4606920393390605,0.6843187660668381,0.5390509873268494,0.6068244774615966,0.662989982432378,0.6822515366634924,0.6929603729603729,0.691978376809491,0.6409755093640667,17795.316395340917,1624.8850720023904,25163.581915012986,56442.66330351051,58312.898574699655,45373.434612233825,31206.901660587984,9547.622265993044,36678.24064976157,0.6706506804738007
201412,0.1559215371225815,0.019365175992235552,0.21603605474899423,0.4132290599571913,0.4670546942073633,0.42057757023974124,0.31176009863477777,0.11469249848641681,0.2060654749949789,0.020645850442493122,0.26288919013468603,0.5625432043241803,0.6561537296096157,0.6455508308767902,0.5432182969011741,0.2570161904575904,0.4616087458684106,0.6646629454701589,0.5409252669039146,0.6072869884243153,0.6627096098032893,0.6814119580672892,0.6924327006574866,0.691709439723047,0.6407724006402615,21917.653477940683,1608.2982880311497,24856.13197207889,55900.3604899405,58400.53698298066,45754.709167036235,31385.75401265913,9620.462906470324,36684.35518432447,0.6702675454370814
201501,0.14380407479765558,0.019344450833812536,0.21531631217299838,0.41174720817545196,0.46624379732621135,0.42121538505887196,0.311549297857708,0.11504386936763579,0.1906223834775328,0.020621046578493386,0.26215045831455,0.5613784399142645,0.6563453163173948,0.6478376062328514,0.5446206065267065,0.258912848262913,0.4619163434208854,0.6715186802523047,0.5431034482758621,0.606580466697966,0.6624603335358855,0.6810469216164904,0.6920650523853371,0.6918977937598652,0.6414475907278503,20574.1541306168,1599.6811500862564,24967.627769353716,56173.803414407674,58390.942108377974,45503.02778629475,31372.858924491047,9673.623368747594,36663.13982832742,0.6700647059589371
201502,0.1368397919566332,0.019322026070591497,0.2149199062183562,0.41092663663162576,0.46557431816801315,0.420896296470921,0.31163724803773446,0.1150822569891306,0.18086587063218812,0.020620937294339056,0.26121299296091793,0.5607903665387396,0.6566036971795339,0.6488051737821888,0.5466374322880201,0.2601987812630828,0.4623514180096897,0.6777301927194861,0.5416791156259336,0.6061618175583862,0.6621571321255271,0.6805233917174945,0.6917590829319293,0.6914945192682898,0.6413365669630827,18943.449930408027,1621.005778711711,24979.3125063117,56244.99527226208,58337.90692765595,45546.347645578106,31429.80174669271,9685.409079279922,36674.03157101134,0.669707912935698
201503,0.13747728098873138,0.01913468385796912,0.21373692366771885,0.4093126496685761,0.46445907846184215,0.41982655166193,0.31116860969406507,0.1152745100311772,0.1821155943293348,0.02049524382971579,0.25972911804036813,0.5592256960456937,0.6564478819200146,0.6494429730415162,0.548183649167169,0.2615755496575144,0.46232208005177,0.674246430460074,0.5470499243570348,0.605851321389434,0.6618228958102853,0.6804182695975327,0.6921917620536326,0.6919942360389304,0.6404584757691534,19121.022173755,1595.6496065955316,24881.65103725512,55800.026627810716,58167.21601682519,45598.23875684028,31556.515925228974,9708.252998922126,36578.6113218942,0.6697370233684501
201504,0.14386491557223263,0.019102191218901724,0.21249063893983958,0.4073958111092331,0.4631049819589519,0.41908010809993773,0.31072542501940226,0.11519116619441437,0.18919324577861163,0.020400004635047916,0.2575729620022358,0.5571324468630423,0.655662512294968,0.6497775716083906,0.5498638180726596,0.26278344736498577,0.461954077772123,0.6823161189358372,0.5444343342432515,0.6059402653454726,0.6608289351977801,0.6802710317113654,0.6919699768047808,0.6920204055184439,0.6403573095126992,19538.5582739212,1575.6285414662975,24363.103720546576,55317.4563447093,58045.33466333913,45452.13413722021,31391.566721822786,9690.143668363704,36339.45097033393,0.6694753851531983
201505,0.14291736930860033,0.01907632271214787,0.21149477448859139,0.40516347406233666,0.4607760928644313,0.4175510862999146,0.30972188774802784,0.11525960913430287,0.18753513209668354,0.020313234961063395,0.25610543404564523,0.5552642713146783,0.6551907903377348,0.6501343554065032,0.5513132065007188,0.26486708950832155,0.46177919376138965,0.6804326450344149,0.547945205479452,0.606429447225912,0.6608105710034536,0.6807647613409634,0.6923105703934199,0.6922823180142078,0.6414269505439498,18712.030002810567,1591.4924246383628,24220.27656718071,54788.42158969296,58031.17590141742,45356.160916637156,31331.112770103115,9625.348655894333,36197.79639043638,0.6698159432490473
201506,0.15055630079696994,0.01902679757134324,0.2108042745262795,0.40413825470005244,0.459922237931731,0.4170055625671949,0.3099394591294615,0.11520568210923075,0.19971593150793024,0.020256203571076485,0.254589083152894,0.5535516108549816,0.6547187436881438,0.6505918342967845,0.5531131670942563,0.2661768472397962,0.46175410546308604,0.6808176100628931,0.5504419384334045,0.6055317789843501,0.6602113517907522,0.680533140102983,0.6923426621330444,0.692077710426657,0.6417360719381491,21688.073226544624,1585.8493455732685,24184.573638087237,54671.154404660025,57971.741814784895,45032.84532843038,31328.67870458526,9730.556379566731,36126.847574413405,0.6695449451838372
201507,0.13879297402792373,0.019280168220923932,0.21121492309182696,0.40448731042935304,0.4605264154898806,0.417684357940326,0.3106163837467202,0.11590452855823467,0.1827052995045789,0.0204509578923456,0.25430556602047294,0.5529831670650848,0.6550187789039787,0.6514711031004032,0.5547344998042996,0.2679085281613275,0.46220729062190763,0.6841535965386696,0.5513595166163142,0.6054147025098738,0.6591597739742855,0.6800798538937,0.6915501965142775,0.6920276750399608,0.6422785643727362,19804.36330881249,1610.8980131524531,24297.805781298775,54866.65950158171,58042.352101292425,45204.99142105058,31502.902309264602,9774.19785822781,36236.85528300917,0.6690292177191329
201508,0.14569839213594452,0.019812328976265135,0.21197967086156824,0.40460518138149915,0.4600485301923514,0.417164030315663,0.3105291307395977,0.1160847371691503,0.19355330336051207,0.020974996770367238,0.2548214477788534,0.5528399815483376,0.6554002477061901,0.6522062231520729,0.5565991370275877,0.2695441012210417,0.4632860571638945,0.6715481171548117,0.551570835803201,0.6053456127665512,0.6591501795491473,0.6796312270272349,0.6919123580162622,0.6918036984021693,0.6428688713014351,21111.582717366455,1668.1264313145193,24701.13652522319,55826.43426042809,58413.30439552107,45558.32083904061,31716.269722244306,9856.357239523173,36647.5633277872,0.6689103223618811
201509,0.14740846409890632,0.01956072531401639,0.21161167768056216,0.4042233527212068,0.4599327978398222,0.41765436571606024,0.31169874971617223,0.11766895651840197,0.1957521001743541,0.020675164263657682,0.2537274188312124,0.5518556570058716,0.6556458157932661,0.6532089436364578,0.5592434142948277,0.273174195033964,0.46368497074339243,0.6876344086021505,0.5528189910979229,0.6049448459490301,0.658688730681461,0.6791670789493937,0.6917467005390668,0.6914422487656534,0.6409445223573921,20807.55238548106,1677.179366627197,25077.75967975187,55763.07199197972,58792.52469262217,45669.875668961235,31514.48238105364,10124.615373987795,36779.02554757073,0.668541488761199
