,auto_total,credit_card_total,first_mortgage_total,he_revolving_total,other_total,student_loan_total,inquiries_12_months,number_accounts_opened_within_12_months,mort_10%_orig_vant3,mort_25%_orig_vant3,mort_50%_orig_vant3,auto_10%_orig_vant3,auto_25%_orig_vant3,auto_50%_orig_vant3,Miscellaneous_perc,Current_perc,30 DPD_perc,60 DPD_perc,90 DPD_perc,120 DPD or Collections_perc,Foreclosure Started_perc,Closed-Positive_perc,Closed-Severe Derogatory_perc,Closed-Bankruptcy_perc,auto_derog_perc,credit_card_derog_perc,first_mortgage_derog_perc,he_revolving_derog_perc,other_derog_perc,student_loan_derog_perc,bankruptcy_new,foreclosure_new,perc_3rd_party_collection_accts,total_amount_3rd_party_collections,coll_perc,coll_amt,Unknown_total,18–24_total,25–34_total,35-44_total,45-54_total,55–64_total,65–74_total,75+_total,national_per_capita,AZ_per_capita,CA_per_capita,FL_per_capita,IL_per_capita,MI_per_capita,NJ_per_capita,NV_per_capita,NY_per_capita,OH_per_capita,PA_per_capita,TX_per_capita
201112,7470074192.5,7454911906.0,85122429411.0,6629378635.5,3735983175.5,9266255999.5,2614728.0,1766827.0,616.0,674.0,743.0,557.0,622.0,690.0,0.019070273816446298,0.8788323809967084,0.01722550888247766,0.00833892297852661,0.005155386874242844,0.031665798100716146,0.017764397476501943,0.0,0.016401057967703178,0.005546272906676917,0.05268461033427681,0.11345444690221937,0.07348611440349297,0.05618754146962466,0.1329370190307486,0.08585762033154802,2993.0,2764.0,0.2857928011496814,3592.118492584438,0.04805324352558276,37178.29287578237,402369343.0,2131667513.0,16995440725.5,29699722785.0,33219209037.0,24210329403.5,9846627619.0,3173666894.0,56418.52309369096,60427.04731883884,84220.59797385964,56388.065360278975,56265.52745725253,44996.48258133599,70755.02952053252,65779.43120757515,56264.95708782501,43437.6323815585,45399.203009844976,42179.639071375335
201203,7466898981.5,7196350838.0,84605681810.5,6485046252.5,3637764023.5,9557945951.5,2682361.0,1765437.0,632.0,691.0,754.0,533.0,597.0,672.0,0.021738278856164,0.88129835807207,0.014470546018263223,0.007521171182658057,0.004784385430096924,0.030761360634115272,0.017461684779604383,0.0,0.016302396420098987,0.005661818606929084,0.04985860380894186,0.11383801595305157,0.07167049859111779,0.054789837676643464,0.13259390009468547,0.08631091546092429,2824.0,2792.0,0.28481542360178896,3628.6898520894083,0.04815609301303175,35996.59857845549,376872955.0,2120993683.5,16720519085.0,29396561544.0,32898209887.5,24139284566.0,10079338697.0,3217907439.5,56351.718960520055,60088.321119654014,83723.07687447175,56000.50056590567,56313.973507104565,44715.24588250934,70741.36813639892,65539.13073709511,56468.29278927348,43450.42221579795,45592.6949687632,42336.10349038715
201206,7611476771.5,7185647185.5,83967692957.5,6231594465.0,3538993038.0,9778660875.0,2698066.0,1802698.0,622.0,679.0,746.0,558.0,624.0,692.0,0.01816684667783325,0.8880792139526,0.015379452806405647,0.006692195099902391,0.0044705462676171695,0.031472469991579634,0.014984607350926556,0.0,0.01493324795434951,0.005821419898785784,0.04683804072488064,0.10945892877779394,0.06969800795244149,0.05656887414287155,0.07710347323944071,0.08796905338022575,2965.0,2639.0,0.2835475037890698,3572.607022618757,0.04686557624540547,37672.988633259476,370726359.5,2048708153.0,16576501413.5,29163031241.5,32725846834.0,23899101292.5,10270009827.0,3260140171.5,56098.75302626987,59495.02526727321,82653.24240235376,55471.00532333646,55766.00958011555,44375.98330406811,70610.96438857069,64594.341719800104,56448.09339956408,43328.10647134103,45891.81510460111,42568.822445250895
201209,7796386406.5,7206840141.0,82968400341.0,6122304738.0,3549350526.5,9992969447.5,2687933.0,1808960.0,622.0,680.0,746.0,560.0,623.0,690.0,0.019944981879123625,0.8882697618916299,0.015860988871325695,0.007079693603535903,0.004379331736525769,0.030149231552741226,0.013765733461989341,0.0,0.01628955117515709,0.004260725827971466,0.04647252099997617,0.10448811584094772,0.06344193011274536,0.0559059863315154,0.07492803359781096,0.11121578329032512,2610.0,2351.0,0.28420737735399887,3595.913632498688,0.047364637477041054,35437.36724386003,377843395.0,2036369460.0,16517595239.5,28784399682.0,32427516160.5,23759491660.5,10425016503.0,3308019500.0,55672.33279926134,57944.91523359301,81166.0855750939,54919.83368665493,55316.33183806672,44003.53746705344,70111.10523167459,63324.07330515735,56317.52864795253,43407.78080779568,45983.24444148138,42735.4637793552
201212,7934229753.0,7356551831.0,83058671754.0,5973767725.0,3482246309.5,10064182102.5,2677059.0,1860308.0,628.0,686.0,749.0,530.0,599.0,677.5,0.017973146916410648,0.8917365287685309,0.015416519427127108,0.007229749212758487,0.004212315568184564,0.030104665830474168,0.011871191776105008,0.0,0.015655277832071452,0.005800604668337587,0.04378573236660342,0.10517600674538087,0.06180310371087517,0.04639881156410379,0.07685091510325284,0.11664823539991187,2443.0,1952.0,0.2861367917798215,3608.8617840163006,0.04853838761990527,34504.005299442826,369806654.5,2022744387.0,16488040771.5,28749154796.5,32268898952.5,23934712280.0,10655900774.5,3380390858.5,55631.53542692032,57242.1564628306,81180.59568056355,54488.808018226286,54810.54185973226,43813.935573116716,70055.20966075148,62565.745729902075,56312.07228117756,43422.5794066746,46116.43763814686,43013.31271766169
201303,8040523456.0,7118861714.0,82218461127.5,5791345583.0,3442019532.5,10270433018.5,2632350.0,1886556.0,635.0,691.0,751.0,545.0,611.0,683.0,0.020122383916136494,0.8955074240920888,0.013792667196300422,0.005960157703875144,0.003935820656335852,0.029207829057373815,0.011067618168720511,0.0,0.015319460657908377,0.005086638551260585,0.043406817467780544,0.10375033188908493,0.05790372204993323,0.04563338488653959,0.07596147887344971,0.11474606828915565,2239.0,1710.0,0.2869937623185268,3552.320613556258,0.04701566874675012,34230.67141109585,388411843.0,2059585795.5,16293208513.0,28316892940.0,31863930501.5,23784930389.5,10767392849.5,3407291599.5,55100.90821476606,57082.7461610442,80230.27216914295,53550.22863720824,54322.22863377521,43298.97651540831,69642.60498943736,60201.45512638455,56185.881903508496,42992.15878975265,45896.41535023846,42835.85039299363
201306,8212897361.0,7125324640.5,81015695170.5,5658253674.5,3439128153.5,10296520217.0,2628184.0,1910848.0,623.0,677.0,742.0,557.0,622.0,689.0,0.01738386633209651,0.9038551024262793,0.012862279912236492,0.005648729556400762,0.003486780495996807,0.02614280149267445,0.010374968397880843,0.0,0.015498080556808734,0.0047473908296260525,0.03905280815063628,0.0985441590280619,0.05319874063821355,0.044836535280016104,0.07244805365756196,0.1105349368538029,2585.0,1808.0,0.28583874881194316,3485.9884391577466,0.04586259262957778,31078.644903199303,360523729.5,1990937967.5,16123371237.0,27875825316.0,31432938403.0,23671902895.0,10852822173.0,3439497496.0,54521.594828853136,56460.987813353786,79571.17263903006,52368.56198074787,53880.15092942439,42766.11948141924,68283.05202792017,59131.16863888574,53759.8630965965,42227.090563352634,45659.24044493882,42706.76135963258
201309,8521483882.0,7289751703.0,81984158842.0,5545620989.5,3541053960.0,10735886561.5,2665508.0,1950225.0,629.0,676.0,740.0,558.0,623.0,691.0,0.01683349275380773,0.9058008545111909,0.013433203756175278,0.006094285322198982,0.0034905556488025896,0.025030313178133104,0.009146935533101001,0.0,0.015541723148662666,0.004628636147927748,0.03780550007029867,0.11540105455907324,0.0473683448040761,0.04432364066448072,0.06983102962938187,0.1176308191471384,2216.0,1584.0,0.2790859185834103,3393.410560202745,0.04266472368114798,31740.709337804037,356851429.0,2207315883.0,16440301271.5,28166667524.0,31726679317.5,24083721766.5,11113128612.5,3523290134.0,54102.74269057496,55514.03093700272,77465.58606170313,51258.91156171923,53560.258366051865,42257.20211997805,67359.89648868436,57578.84729132117,54623.89945482926,41967.30875924681,45579.35726500381,42510.223304295585
201312,8664481688.0,7328297679.5,83771610181.0,5479061603.0,3571395828.0,11232798025.0,2679848.0,2006424.0,610.0,664.0,731.0,552.0,617.0,684.0,0.016292666327829112,0.9091452639817204,0.014191258020397978,0.006159066876924443,0.0034937642090711405,0.02300323921719985,0.008254308749354105,0.0,0.014752305527806186,0.0047081270896968735,0.0380737982811927,0.0959166112979131,0.04401918202995655,0.042685754321861016,0.06546157658220796,0.11751054782274517,2038.0,1425.0,0.27367407830701707,3327.194549713691,0.042959533027686486,29382.810673206855,383480992.0,2274174922.0,16914753488.0,28770881366.5,32257230863.0,24407668875.0,11431566790.0,3607887708.0,54873.65555969484,56566.605505012994,78640.7236581606,51562.31770911831,53936.70030069216,43098.13517845079,68494.50230930612,58335.94730781884,55351.886644635415,42763.863764649606,46205.48716197908,43432.80806212357
201403,8749287592.0,7124118378.0,83463506952.0,5411298308.0,3578752459.0,11582524633.0,2651393.0,2000727.0,601.0,653.0,720.0,539.0,607.0,678.0,0.01663413126777599,0.9135552891639,0.012475279216294878,0.005655660598591475,0.0034169966466684196,0.02065321983402734,0.008645083971305782,0.0,0.0143886431060973,0.0045756961953388195,0.03805162208914163,0.08680831426240515,0.04204005708168868,0.039733992151592915,0.0642839183865441,0.11151649544693872,1721.0,1404.0,0.27460164885256355,3351.6843766983257,0.03988668203671199,28328.952442232898,441654752.0,2336500253.0,16924315649.0,28521815163.5,31995820180.5,24465744541.5,11551510298.0,3672127484.5,54710.496841505876,55902.58310787374,78488.32188329377,51128.60830073664,53812.118540964446,42917.69620926688,68033.44218373542,57532.483254240986,55353.8374570709,42735.84988506573,46043.52985212168,43500.182938607664
