,Unknown_count,18–24_count,25–34_count,35-44_count,45-54_count,55–64_count,65–74_count,75+_count,Unknown_SL_count,18–24_SL_count,25–34_SL_count,35-44_SL_count,45-54_SL_count,55–64_SL_count,65–74_SL_count,75+_SL_count,Unknown_SL_mean,18–24_SL_mean,25–34_SL_mean,35-44_SL_mean,45-54_SL_mean,55–64_SL_mean,65–74_SL_mean,75+_SL_mean,Unknown_SL_25%,18–24_SL_25%,25–34_SL_25%,35-44_SL_25%,45-54_SL_25%,55–64_SL_25%,65–74_SL_25%,75+_SL_25%,Unknown_SL_50%,18–24_SL_50%,25–34_SL_50%,35-44_SL_50%,45-54_SL_50%,55–64_SL_50%,65–74_SL_50%,75+_SL_50%,Unknown_SL_75%,18–24_SL_75%,25–34_SL_75%,35-44_SL_75%,45-54_SL_75%,55–64_SL_75%,65–74_SL_75%,75+_SL_75%,Unknown_SL_90%,18–24_SL_90%,25–34_SL_90%,35-44_SL_90%,45-54_SL_90%,55–64_SL_90%,65–74_SL_90%,75+_SL_90%,Unknown_SL_perc,18–24_SL_perc,25–34_SL_perc,35-44_SL_perc,45-54_SL_perc,55–64_SL_perc,65–74_SL_perc,75+_SL_perc
200605,56549.0,166969.0,337895.0,395447.0,403499.0,305419.0,183005.0,188732.0,6332.0,62950.0,94006.0,44528.0,34449.0,14658.0,2673.0,1320.0,12209.454358812382,12327.625305798252,19908.51986043444,20111.469637082286,17703.18557868153,17512.841042434167,14295.706696595586,15053.544696969697,2625.0,2971.25,4137.0,3824.75,4105.0,3282.0,2808.0,4111.75,6125.0,7119.0,10679.5,10002.5,9866.0,9102.0,7763.0,9113.0,14391.5,15978.0,24134.0,24257.75,21831.0,21779.5,17413.0,17850.75,28546.80000000001,27890.0,46957.0,49445.600000000006,41943.0,43109.600000000035,33713.2,35920.10000000002,0.1119736865373393,0.3770160928076469,0.2782106867518016,0.11260168872187676,0.08537567627181232,0.04799308490958323,0.014606158301685747,0.0069940444651675395
200606,56825.0,167713.0,339502.0,396814.0,405474.0,307589.0,184210.0,190369.0,6033.0,63006.0,94834.0,44767.0,34552.0,14637.0,2646.0,1301.0,12226.354052710094,12331.747436752055,20075.90532931227,20488.366140237227,18048.964604075016,18103.752203320353,15027.727891156463,15632.332052267486,2625.0,2956.0,4230.0,3935.5,4187.0,3583.0,3200.5,4476.0,6125.0,7081.0,10840.5,10234.0,10000.0,9441.0,8292.0,10000.0,14483.0,15995.25,24442.0,24738.5,22175.0,22363.0,18261.5,18510.0,27367.000000000007,27971.5,47319.7,50310.20000000002,42675.9,44160.0,35047.0,36408.0,0.10616805983282006,0.3756774966758689,0.2793326696160847,0.11281608007781983,0.08521384848350326,0.04758622707574068,0.014364041040117258,0.006834095887460668
200607,54184.0,168481.0,339895.0,396639.0,406057.0,308348.0,184753.0,191286.0,5611.0,62581.0,95527.0,45003.0,34609.0,14750.0,2674.0,1305.0,11888.119764747817,12310.206196768988,20201.33127806798,20573.471613003578,18025.488890173077,18216.848745762712,15185.204562453253,15445.569348659004,2625.0,2959.0,4253.5,3938.5,4192.0,3565.0,3227.75,4368.0,6125.0,7102.0,10965.0,10291.0,10000.0,9468.0,8345.0,9819.0,13831.5,15968.0,24599.0,24907.5,22222.0,22407.25,18525.5,18580.0,27134.0,27991.0,47684.00000000013,50539.80000000002,42765.40000000001,44475.3,35457.20000000001,36380.00000000002,0.10355455485014026,0.371442477193274,0.28104855911384397,0.11346085483273204,0.08523187631293143,0.04783556241649046,0.014473377969505232,0.006822245224428343
200608,53285.0,168910.0,340281.0,396926.0,407085.0,310213.0,185521.0,192332.0,5486.0,61771.0,95672.0,45133.0,34626.0,14889.0,2694.0,1316.0,12220.433284724753,12188.715886095417,19934.777646542352,20535.340571200675,17784.990325189163,17979.80938948217,15283.887899034893,15440.534954407294,2625.0,2833.0,4221.0,3932.0,4116.25,3513.0,3327.0,4327.0,6125.0,6933.0,10877.0,10278.0,9904.5,9325.0,8352.0,9788.0,14485.25,15790.0,24388.25,24940.0,21992.75,22311.0,18669.75,18705.5,27562.0,27890.0,46984.90000000001,50268.8,42369.5,43851.000000000015,35570.50000000003,36536.0,0.1029558036971005,0.3657036291516192,0.2811558682383089,0.11370633317041463,0.08505840303622093,0.047996054323964504,0.01452126713417888,0.006842335128839715
200609,53671.0,170948.0,340637.0,396587.0,407619.0,311325.0,186028.0,193032.0,5984.0,63432.0,96061.0,45498.0,35337.0,15159.0,2753.0,1344.0,12067.380180481283,12452.589008702233,20293.991838519276,20801.497450437382,17997.19231966494,18302.973415132925,15582.986923356339,15623.369047619048,2625.0,2963.0,4273.0,3977.0,4168.0,3527.5,3448.0,4269.75,6125.0,7162.0,11033.0,10336.0,9983.0,9390.0,8379.0,9928.0,14375.0,16050.25,24762.0,25210.5,22297.0,22565.5,18718.0,18864.75,27459.999999999993,28500.0,47950.0,51227.20000000001,43159.400000000016,45095.800000000025,36018.4,37156.70000000001,0.1114941029606305,0.3710602054425907,0.28200401013395493,0.11472388151906139,0.0866912484452393,0.04869188147434353,0.01479884748532479,0.006962576153176675
200610,52972.0,171756.0,339943.0,395835.0,407484.0,311693.0,186127.0,192745.0,7413.0,65597.0,98261.0,46941.0,36822.0,15895.0,2933.0,1433.0,13961.306488601107,12548.370382791896,20696.898667833626,21169.5408704544,18308.466052903157,18830.69915067631,15718.047391749062,15680.142358688066,2625.0,3003.0,4502.0,4130.0,4301.0,3758.0,3480.0,4281.0,7043.0,7284.0,11438.0,10539.0,10149.0,9674.0,8481.0,9846.0,16647.0,16124.0,25362.0,25578.0,22807.5,23134.5,18728.0,19077.0,33158.4,29053.600000000013,48590.0,52112.0,43801.600000000006,46504.8,36838.80000000001,37289.799999999996,0.1399418560749075,0.381919700039591,0.2890513997934948,0.11858729015877828,0.09036428424183526,0.05099569127314377,0.015758057670300387,0.007434693506965161
200611,49404.0,173317.0,342229.0,398074.0,410286.0,314175.0,187107.0,192666.0,6939.0,67294.0,99648.0,47851.0,37535.0,16272.0,2983.0,1485.0,13219.000432338953,12369.152480161678,20626.21167509634,21148.484901047,18356.79485813241,18942.91371681416,15740.701977874623,15817.072053872054,2572.0,2859.0,4499.0,4145.0,4314.0,3792.75,3580.0,4228.0,6265.0,7103.5,11395.5,10557.0,10153.0,9751.0,8483.0,9565.0,15469.0,15902.0,25294.25,25633.0,22901.5,23193.25,18735.5,19164.0,30897.399999999976,28793.90000000003,48413.10000000002,51909.0,43947.39999999999,46917.6,36706.80000000004,37439.800000000025,0.1404542142336653,0.3882712024786951,0.2911734540322416,0.12020629330225034,0.0914849641469609,0.05179279064215803,0.015942749335941468,0.007707639126778985
200612,48456.0,175723.0,343055.0,398393.0,411204.0,315395.0,187761.0,193502.0,6610.0,68103.0,99913.0,48106.0,37785.0,16395.0,3035.0,1512.0,12887.808472012102,12297.637020395578,20745.19163672395,21168.91986446597,18244.711208151384,18868.66745959134,15667.45337726524,15961.724867724868,2209.0,2789.0,4487.0,4128.0,4250.0,3791.5,3596.5,4298.75,6029.0,7000.0,11389.0,10551.5,10080.0,9716.0,8481.0,9858.5,15033.0,15784.5,25357.0,25665.75,22803.0,23183.0,18532.5,19190.0,31012.500000000022,28659.000000000015,48726.60000000002,52078.5,43908.0,46388.4,36695.799999999996,37332.50000000001,0.13641241538715534,0.3875588283833078,0.29124484412120505,0.12075011358131292,0.09188869758076283,0.051982434724710286,0.0161641661473895,0.007813872724829718
200701,47150.0,173376.0,343200.0,396984.0,411622.0,317460.0,188826.0,195372.0,6635.0,67089.0,100509.0,48307.0,37862.0,16699.0,3110.0,1544.0,13217.30580256217,12492.264007512409,20899.66647762887,21535.35479330118,18611.629021182187,19109.30361099467,15955.729903536978,16238.804404145078,2373.0,2788.0,4512.0,4192.5,4358.0,3865.5,3692.75,4295.75,6125.0,7049.0,11493.0,10764.0,10278.5,9871.0,8763.5,10006.0,15210.5,15985.0,25513.0,26177.0,23137.75,23451.5,18740.0,19949.75,31867.400000000012,29147.600000000013,49014.2,52858.60000000001,44431.600000000006,47159.000000000015,37174.39999999998,38022.600000000006,0.14072110286320255,0.38695667220376523,0.2928583916083916,0.12168500493722668,0.09198244991764289,0.0526019026019026,0.01647018948661731,0.007902872468931064
200702,47771.0,174327.0,345466.0,399225.0,414447.0,320107.0,190406.0,196873.0,7147.0,67097.0,101023.0,48604.0,38171.0,16905.0,3153.0,1568.0,14532.420875891983,13318.091196327705,21230.035536461994,21671.801415521357,19124.849597862252,19430.65377107365,16294.162702188392,16785.392219387755,2625.0,3190.0,4645.0,4367.0,4532.0,4000.0,3827.0,4486.25,6852.0,7700.0,11779.0,11045.5,10836.0,10143.0,8961.0,10508.5,17125.0,16996.0,25950.0,26525.0,23996.5,24027.0,19731.0,20582.0,35026.80000000004,31000.0,49578.40000000001,53010.50000000002,45715.0,47963.20000000002,37850.0,38825.79999999999,0.14960959577986643,0.3848916117411531,0.29242530379255843,0.12174588264762978,0.09210104066382432,0.052810466500263976,0.016559352121256685,0.007964525353908358
200703,45494.0,176426.0,348390.0,401190.0,416739.0,322917.0,191651.0,197824.0,6019.0,67755.0,102260.0,49066.0,38435.0,17167.0,3181.0,1592.0,13280.596776873235,13481.561537893882,21457.46141208684,21723.70203399503,19285.785846233903,19468.613211393953,16319.307136120717,17000.645100502512,2625.0,3279.0,4647.0,4351.0,4572.0,4000.0,3806.0,4484.0,6227.0,7855.0,11797.0,11064.0,10948.0,10174.0,9012.0,10623.5,15611.5,17115.0,26118.0,26627.0,24284.0,24081.5,19538.0,20645.25,30916.6,31221.19999999999,50279.100000000006,53116.5,46042.6,48068.599999999984,38042.0,38830.100000000006,0.13230316085637667,0.3840420346207475,0.2935216280605069,0.12230115406665171,0.09222798922107123,0.0531622677034656,0.016597878435280797,0.008047557424781623
